项梁	楚王上柱国	根骨型破枪宗师II	力断兜鍪 Lv.15	获胜奖励	374 +113	积分	2771	卸武
仁义之师	仁义之师	防御型防枪大师III	不动惊波 Lv.6	获胜奖励	30 +9	积分	2796	
熊心	楚怀王	无尽型气剑宗师I	平歌天仗 Lv.12	获胜奖励	352 +106	积分	2797	截脉
亡命之师	亡命之师	臂力型破枪大师IV	狂龙出海 Lv.8	获胜奖励	30 +9	积分	2798	
亡命之师	亡命之师	臂力型破枪大师IV	狂龙出海 Lv.6	获胜奖励	30 +9	积分	2799	
亡命之师	亡命之师	臂力型破枪大师IV	技冠平生 Lv.5	获胜奖励	30 +9	积分	2800	
亡命之师	亡命之师	臂力型破枪大师IV	技冠平生 Lv.4	获胜奖励	30 +9	积分	2801	
亡命之师	亡命之师	臂力型破枪大师IV	亢龙回首 Lv.3	获胜奖励	30 +9	积分	2802	
亡命之师	亡命之师	臂力型破枪大师IV	亢龙回首 Lv.2	获胜奖励	30 +9	积分	2803	
亡命之师	亡命之师	臂力型破枪大师IV	狂龙出海 Lv.8	获胜奖励	30 +9	积分	2804	
亡命之师	亡命之师	臂力型破枪大师IV	狂龙出海 Lv.6	获胜奖励	30 +9	积分	2805	
亡命之师	亡命之师	臂力型破枪大师IV	技冠平生 Lv.5	获胜奖励	30 +9	积分	2806	
亡命之师	亡命之师	臂力型破枪大师IV	技冠平生 Lv.4	获胜奖励	30 +9	积分	2807	
亡命之师	亡命之师	臂力型破枪大师IV	亢龙回首 Lv.3	获胜奖励	30 +9	积分	2808	
亡命之师	亡命之师	臂力型破枪大师IV	亢龙回首 Lv.2	获胜奖励	30 +9	积分	2809	
英布	当阳君	臂力型破枪宗师III	狂龙出海 Lv.15	获胜奖励	396 +119	积分	2810	卸武
忠义之师	忠义之师	根骨型均剑大师IV	挑灯看剑 Lv.5	获胜奖励	30 +9	积分	2811	
忠义之师	忠义之师	根骨型均剑大师IV	挑灯看剑 Lv.4	获胜奖励	30 +9	积分	2812	
忠义之师	忠义之师	根骨型均剑大师IV	西风横渡 Lv.3	获胜奖励	30 +9	积分	2813	
忠义之师	忠义之师	根骨型均剑大师IV	西风横渡 Lv.2	获胜奖励	30 +9	积分	2814	
忠义之师	忠义之师	根骨型均剑大师IV	刀剑平戎 Lv.2	获胜奖励	30 +9	积分	2815	
忠义之师	忠义之师	根骨型均剑大师IV	刀剑平戎 Lv.1	获胜奖励	30 +9	积分	2816	
忠义之师	忠义之师	根骨型均剑大师IV	挑灯看剑 Lv.5	获胜奖励	30 +9	积分	2817	
忠义之师	忠义之师	根骨型均剑大师IV	挑灯看剑 Lv.4	获胜奖励	30 +9	积分	2818	
忠义之师	忠义之师	根骨型均剑大师IV	西风横渡 Lv.3	获胜奖励	30 +9	积分	2819	
忠义之师	忠义之师	根骨型均剑大师IV	西风横渡 Lv.2	获胜奖励	30 +9	积分	2820	
忠义之师	忠义之师	根骨型均剑大师IV	刀剑平戎 Lv.2	获胜奖励	30 +9	积分	2821	
忠义之师	忠义之师	根骨型均剑大师IV	刀剑平戎 Lv.1	获胜奖励	30 +9	积分	2822	
钟离昧	虎狼五将	反弹型防枪宗师II	鹰击长空 Lv.9	获胜奖励	374 +113	积分	2823	结脉
苍头军	苍头军	身法型控匕大师IV	燕窥画栋 Lv.8	获胜奖励	30 +9	积分	2824	
苍头军	苍头军	身法型控匕大师IV	燕窥画栋 Lv.6	获胜奖励	30 +9	积分	2825	
苍头军	苍头军	身法型控匕大师IV	遁开金石 Lv.10	获胜奖励	30 +9	积分	2826	
苍头军	苍头军	身法型控匕大师IV	遁开金石 Lv.8	获胜奖励	30 +9	积分	2827	
苍头军	苍头军	身法型控匕大师IV	琉璃催心 Lv.5	获胜奖励	30 +9	积分	2828	
苍头军	苍头军	身法型控匕大师IV	琉璃催心 Lv.4	获胜奖励	30 +9	积分	2829	
苍头军	苍头军	身法型控匕大师IV	燕窥画栋 Lv.8	获胜奖励	30 +9	积分	2830	
苍头军	苍头军	身法型控匕大师IV	燕窥画栋 Lv.6	获胜奖励	30 +9	积分	2831	
苍头军	苍头军	身法型控匕大师IV	遁开金石 Lv.10	获胜奖励	30 +9	积分	2832	
苍头军	苍头军	身法型控匕大师IV	遁开金石 Lv.8	获胜奖励	30 +9	积分	2833	
苍头军	苍头军	身法型控匕大师IV	琉璃催心 Lv.5	获胜奖励	30 +9	积分	2834	
苍头军	苍头军	身法型控匕大师IV	琉璃催心 Lv.4	获胜奖励	30 +9	积分	2835	
吕臣	楚国司徒	臂力型破枪宗师II	飞鸿踏雪 Lv.18	获胜奖励	374 +113	积分	2836	
吕臣	楚国司徒	臂力型破枪宗师II	飞鸿踏雪 Lv.18	获胜奖励	374 +113	积分	2837	
吕臣	楚国司徒	臂力型破枪宗师II	飞鸿踏雪 Lv.18	获胜奖励	374 +113	积分	2838	
吕臣	楚国司徒	臂力型破枪宗师I	飞鸿踏雪 Lv.18	获胜奖励	374 +113	积分	2839	
吕臣	楚国司徒	臂力型破枪宗师I	飞鸿踏雪 Lv.18	获胜奖励	374 +113	积分	2840	
吕臣	楚国司徒	臂力型破枪宗师I	飞鸿踏雪 Lv.15	获胜奖励	374 +113	积分	2841	卸武
秦卫兵	秦卫兵	根骨型破枪大师V	震啸山河 Lv.20	获胜奖励	30 +9	积分	2842	
秦卫兵	秦卫兵	根骨型破枪大师V	震啸山河 Lv.17	获胜奖励	30 +9	积分	2843	
秦卫兵	秦卫兵	根骨型破枪大师V	力断兜鍪 Lv.15	获胜奖励	30 +9	积分	2844	
秦卫兵	秦卫兵	根骨型破枪大师V	力断兜鍪 Lv.12	获胜奖励	30 +9	积分	2845	
秦卫兵	秦卫兵	根骨型破枪大师V	狂龙出海 Lv.10	获胜奖励	30 +9	积分	2846	
秦卫兵	秦卫兵	根骨型破枪大师V	狂龙出海 Lv.8	获胜奖励	30 +9	积分	2847	
秦卫兵	秦卫兵	根骨型破枪大师V	震啸山河 Lv.20	获胜奖励	30 +9	积分	2848	
秦卫兵	秦卫兵	根骨型破枪大师V	震啸山河 Lv.17	获胜奖励	30 +9	积分	2849	
秦卫兵	秦卫兵	根骨型破枪大师V	力断兜鍪 Lv.15	获胜奖励	30 +9	积分	2850	
秦卫兵	秦卫兵	根骨型破枪大师V	力断兜鍪 Lv.12	获胜奖励	30 +9	积分	2851	
秦卫兵	秦卫兵	根骨型破枪大师V	狂龙出海 Lv.10	获胜奖励	30 +9	积分	2852	
秦卫兵	秦卫兵	根骨型破枪大师V	狂龙出海 Lv.8	获胜奖励	30 +9	积分	2853	
董翳	秦国都尉	内息型中鞭宗师III	明镜登台 Lv.12	获胜奖励	396 +119	积分	2854	
董翳	秦国都尉	内息型中鞭宗师III	明镜登台 Lv.12	获胜奖励	396 +119	积分	2855	
董翳	秦国都尉	内息型中鞭宗师III	明镜登台 Lv.12	获胜奖励	396 +119	积分	2856	
董翳	秦国都尉	内息型中鞭宗师II	明镜登台 Lv.12	获胜奖励	396 +119	积分	2857	
董翳	秦国都尉	内息型中鞭宗师II	明镜登台 Lv.12	获胜奖励	396 +119	积分	2858	
董翳	秦国都尉	内息型中鞭宗师II	明镜登台 Lv.10	获胜奖励	396 +119	积分	2859	卸武
秦卫兵	秦卫兵	身法型轻鞭大师V	基本鞭法 Lv.30	获胜奖励	30 +9	积分	2860	
秦卫兵	秦卫兵	身法型轻鞭大师V	基本鞭法 Lv.25	获胜奖励	30 +9	积分	2861	
秦卫兵	秦卫兵	身法型轻鞭大师V	蛇吻红云 Lv.10	获胜奖励	30 +9	积分	2862	
秦卫兵	秦卫兵	身法型轻鞭大师V	蛇吻红云 Lv.8	获胜奖励	30 +9	积分	2863	
秦卫兵	秦卫兵	身法型轻鞭大师V	明镜登台 Lv.8	获胜奖励	30 +9	积分	2864	
秦卫兵	秦卫兵	身法型轻鞭大师V	明镜登台 Lv.6	获胜奖励	30 +9	积分	2865	
秦卫兵	秦卫兵	身法型轻鞭大师V	基本鞭法 Lv.30	获胜奖励	30 +9	积分	2866	
秦卫兵	秦卫兵	身法型轻鞭大师V	基本鞭法 Lv.25	获胜奖励	30 +9	积分	2867	
秦卫兵	秦卫兵	身法型轻鞭大师V	蛇吻红云 Lv.10	获胜奖励	30 +9	积分	2868	
秦卫兵	秦卫兵	身法型轻鞭大师V	蛇吻红云 Lv.8	获胜奖励	30 +9	积分	2869	
秦卫兵	秦卫兵	身法型轻鞭大师V	明镜登台 Lv.8	获胜奖励	30 +9	积分	2870	
秦卫兵	秦卫兵	身法型轻鞭大师V	明镜登台 Lv.6	获胜奖励	30 +9	积分	2871	
司马欣	秦国长史	身法型轻剑宗师III	庄生晓梦 Lv.10	获胜奖励	396 +119	积分	2872	
司马欣	秦国长史	身法型轻剑宗师III	庄生晓梦 Lv.10	获胜奖励	396 +119	积分	2873	
司马欣	秦国长史	身法型轻剑宗师III	庄生晓梦 Lv.10	获胜奖励	396 +119	积分	2874	
司马欣	秦国长史	身法型轻剑宗师II	庄生晓梦 Lv.10	获胜奖励	396 +119	积分	2875	
司马欣	秦国长史	身法型轻剑宗师II	庄生晓梦 Lv.10	获胜奖励	396 +119	积分	2876	
司马欣	秦国长史	身法型轻剑宗师II	庄生晓梦 Lv.8	获胜奖励	396 +119	积分	2877	定身
秦卫兵	秦卫兵	臂力型重剑宗师I	西风横渡 Lv.8	获胜奖励	40 +12	积分	2878	
秦卫兵	秦卫兵	臂力型重剑宗师I	西风横渡 Lv.6	获胜奖励	40 +12	积分	2879	
秦卫兵	秦卫兵	臂力型重剑宗师I	刀剑平戎 Lv.5	获胜奖励	40 +12	积分	2880	
秦卫兵	秦卫兵	臂力型重剑宗师I	刀剑平戎 Lv.4	获胜奖励	40 +12	积分	2881	
秦卫兵	秦卫兵	臂力型重剑宗师I	北望天狼 Lv.10	获胜奖励	40 +12	积分	2882	
秦卫兵	秦卫兵	臂力型重剑宗师I	北望天狼 Lv.8	获胜奖励	40 +12	积分	2883	
秦卫兵	秦卫兵	臂力型重剑宗师I	西风横渡 Lv.8	获胜奖励	40 +12	积分	2884	
秦卫兵	秦卫兵	臂力型重剑宗师I	西风横渡 Lv.6	获胜奖励	40 +12	积分	2885	
秦卫兵	秦卫兵	臂力型重剑宗师I	刀剑平戎 Lv.5	获胜奖励	40 +12	积分	2886	
秦卫兵	秦卫兵	臂力型重剑宗师I	刀剑平戎 Lv.4	获胜奖励	40 +12	积分	2887	
秦卫兵	秦卫兵	臂力型重剑宗师I	北望天狼 Lv.10	获胜奖励	40 +12	积分	2888	
秦卫兵	秦卫兵	臂力型重剑宗师I	北望天狼 Lv.8	获胜奖励	40 +12	积分	2889	
章邯	秦国少府	根骨型破枪宗师V	猛虎崩城 Lv.10	获胜奖励	440 +132	积分	2890	
章邯	秦国少府	根骨型破枪宗师V	猛虎崩城 Lv.10	获胜奖励	440 +132	积分	2891	
章邯	秦国少府	根骨型破枪宗师V	猛虎崩城 Lv.10	获胜奖励	440 +132	积分	2892	
章邯	秦国少府	根骨型破枪宗师IV	猛虎崩城 Lv.10	获胜奖励	440 +132	积分	2893	
章邯	秦国少府	根骨型破枪宗师IV	猛虎崩城 Lv.10	获胜奖励	440 +132	积分	2894	
章邯	秦国少府	根骨型破枪宗师IV	猛虎崩城 Lv.8	获胜奖励	440 +132	积分	2895	卸武
反叛兵	反叛兵	气血型刺匕宗师I	灵蛇吐信 Lv.15	获胜奖励	40 +12	积分	2896	
反叛兵	反叛兵	气血型刺匕宗师I	灵蛇吐信 Lv.12	获胜奖励	40 +12	积分	2897	
反叛兵	反叛兵	气血型刺匕宗师I	断水捞月 Lv.8	获胜奖励	40 +12	积分	2898	
反叛兵	反叛兵	气血型刺匕宗师I	断水捞月 Lv.6	获胜奖励	40 +12	积分	2899	
反叛兵	反叛兵	气血型刺匕宗师I	攻心寸结 Lv.10	获胜奖励	40 +12	积分	2900	
反叛兵	反叛兵	气血型刺匕宗师I	攻心寸结 Lv.8	获胜奖励	40 +12	积分	2901	
反叛兵	反叛兵	气血型刺匕宗师I	灵蛇吐信 Lv.15	获胜奖励	40 +12	积分	2902	
反叛兵	反叛兵	气血型刺匕宗师I	灵蛇吐信 Lv.12	获胜奖励	40 +12	积分	2903	
反叛兵	反叛兵	气血型刺匕宗师I	断水捞月 Lv.8	获胜奖励	40 +12	积分	2904	
反叛兵	反叛兵	气血型刺匕宗师I	断水捞月 Lv.6	获胜奖励	40 +12	积分	2905	
反叛兵	反叛兵	气血型刺匕宗师I	攻心寸结 Lv.10	获胜奖励	40 +12	积分	2906	
反叛兵	反叛兵	气血型刺匕宗师I	攻心寸结 Lv.8	获胜奖励	40 +12	积分	2907	
田荣	齐王	双吸型控匕宗师IV	琉璃催心 Lv.8	获胜奖励	418 +126	积分	2908	
田荣	齐王	双吸型控匕宗师IV	琉璃催心 Lv.8	获胜奖励	418 +126	积分	2909	
田荣	齐王	双吸型控匕宗师IV	琉璃催心 Lv.8	获胜奖励	418 +126	积分	2910	
田荣	齐王	双吸型控匕宗师III	琉璃催心 Lv.8	获胜奖励	418 +126	积分	2911	
田荣	齐王	双吸型控匕宗师III	琉璃催心 Lv.8	获胜奖励	418 +126	积分	2912	
田荣	齐王	双吸型控匕宗师III	琉璃催心 Lv.6	获胜奖励	418 +126	积分	2913	截脉
水泽盗团	水泽盗团	法算型控匕宗师II	燕窥画栋 Lv.8	获胜奖励	40 +12	积分	2914	
水泽盗团	水泽盗团	法算型控匕宗师II	燕窥画栋 Lv.6	获胜奖励	40 +12	积分	2915	
水泽盗团	水泽盗团	法算型控匕宗师II	遁开金石 Lv.10	获胜奖励	40 +12	积分	2916	
水泽盗团	水泽盗团	法算型控匕宗师II	遁开金石 Lv.8	获胜奖励	40 +12	积分	2917	
水泽盗团	水泽盗团	法算型控匕宗师II	琉璃催心 Lv.5	获胜奖励	40 +12	积分	2918	
水泽盗团	水泽盗团	法算型控匕宗师II	琉璃催心 Lv.4	获胜奖励	40 +12	积分	2919	
水泽盗团	水泽盗团	法算型控匕宗师II	燕窥画栋 Lv.8	获胜奖励	40 +12	积分	2920	
水泽盗团	水泽盗团	法算型控匕宗师II	燕窥画栋 Lv.6	获胜奖励	40 +12	积分	2921	
水泽盗团	水泽盗团	法算型控匕宗师II	遁开金石 Lv.10	获胜奖励	40 +12	积分	2922	
水泽盗团	水泽盗团	法算型控匕宗师II	遁开金石 Lv.8	获胜奖励	40 +12	积分	2923	
水泽盗团	水泽盗团	法算型控匕宗师II	琉璃催心 Lv.5	获胜奖励	40 +12	积分	2924	
水泽盗团	水泽盗团	法算型控匕宗师II	琉璃催心 Lv.4	获胜奖励	40 +12	积分	2925	
彭越	盗贼将军	臂力型重剑宗师V	北望天狼 Lv.14	获胜奖励	440 +132	积分	2926	
彭越	盗贼将军	臂力型重剑宗师V	北望天狼 Lv.14	获胜奖励	440 +132	积分	2927	
彭越	盗贼将军	臂力型重剑宗师V	北望天狼 Lv.14	获胜奖励	440 +132	积分	2928	
彭越	盗贼将军	臂力型重剑宗师IV	北望天狼 Lv.14	获胜奖励	440 +132	积分	2929	
彭越	盗贼将军	臂力型重剑宗师IV	北望天狼 Lv.14	获胜奖励	440 +132	积分	2930	
彭越	盗贼将军	臂力型重剑宗师IV	北望天狼 Lv.11	获胜奖励	440 +132	积分	2931	卸武
贵族护军	贵族护军	身法型轻剑宗师II	庄生晓梦 Lv.10	获胜奖励	40 +12	积分	2932	
贵族护军	贵族护军	身法型轻剑宗师II	庄生晓梦 Lv.8	获胜奖励	40 +12	积分	2933	
贵族护军	贵族护军	身法型轻剑宗师II	弦翻塞外 Lv.6	获胜奖励	40 +12	积分	2936	
贵族护军	贵族护军	身法型轻剑宗师II	庄生晓梦 Lv.10	获胜奖励	40 +12	积分	2938	
贵族护军	贵族护军	身法型轻剑宗师II	庄生晓梦 Lv.8	获胜奖励	40 +12	积分	2939	
贵族护军	贵族护军	身法型轻剑宗师II	弦翻塞外 Lv.6	获胜奖励	40 +12	积分	2942	
魏豹	魏王	法算型控匕宗师V	琉璃催心 Lv.8	获胜奖励	440 +132	积分	2944	
魏豹	魏王	法算型控匕宗师V	琉璃催心 Lv.8	获胜奖励	440 +132	积分	2945	
魏豹	魏王	法算型控匕宗师V	琉璃催心 Lv.8	获胜奖励	440 +132	积分	2946	
魏豹	魏王	法算型控匕宗师IV	琉璃催心 Lv.8	获胜奖励	440 +132	积分	2947	
魏豹	魏王	法算型控匕宗师IV	琉璃催心 Lv.8	获胜奖励	440 +132	积分	2948	
魏豹	魏王	法算型控匕宗师IV	琉璃催心 Lv.6	获胜奖励	440 +132	积分	2949	截脉
鬼舞之师	鬼舞之师	消耗型法算宗师III	翻掌成山 Lv.10	获胜奖励	40 +12	积分	2950	
鬼舞之师	鬼舞之师	消耗型法算宗师III	翻掌成山 Lv.8	获胜奖励	40 +12	积分	2951	
鬼舞之师	鬼舞之师	消耗型法算宗师III	一叶织云 Lv.10	获胜奖励	40 +12	积分	2952	
鬼舞之师	鬼舞之师	消耗型法算宗师III	一叶织云 Lv.8	获胜奖励	40 +12	积分	2953	
鬼舞之师	鬼舞之师	消耗型法算宗师III	仙师弹水 Lv.10	获胜奖励	40 +12	积分	2954	
鬼舞之师	鬼舞之师	消耗型法算宗师III	仙师弹水 Lv.8	获胜奖励	40 +12	积分	2955	
鬼舞之师	鬼舞之师	消耗型法算宗师III	翻掌成山 Lv.10	获胜奖励	40 +12	积分	2956	
鬼舞之师	鬼舞之师	消耗型法算宗师III	翻掌成山 Lv.8	获胜奖励	40 +12	积分	2957	
鬼舞之师	鬼舞之师	消耗型法算宗师III	一叶织云 Lv.10	获胜奖励	40 +12	积分	2958	
鬼舞之师	鬼舞之师	消耗型法算宗师III	一叶织云 Lv.8	获胜奖励	40 +12	积分	2959	
鬼舞之师	鬼舞之师	消耗型法算宗师III	仙师弹水 Lv.10	获胜奖励	40 +12	积分	2960	
鬼舞之师	鬼舞之师	消耗型法算宗师III	仙师弹水 Lv.8	获胜奖励	40 +12	积分	2961	
项庄	舞将	身法型轻剑传奇I	挑灯看剑 Lv.14	获胜奖励	462 +139	积分	2962	
项庄	舞将	身法型轻剑传奇I	挑灯看剑 Lv.14	获胜奖励	462 +139	积分	2963	
项庄	舞将	身法型轻剑传奇I	挑灯看剑 Lv.14	获胜奖励	462 +139	积分	2964	
项庄	舞将	身法型轻剑宗师V	挑灯看剑 Lv.14	获胜奖励	462 +139	积分	2965	
项庄	舞将	身法型轻剑宗师V	挑灯看剑 Lv.14	获胜奖励	462 +139	积分	2966	
项庄	舞将	身法型轻剑宗师V	挑灯看剑 Lv.11	获胜奖励	462 +139	积分	2967	定身
护天兵	护天兵	防御型防枪宗师III	碧海连云 Lv.20	获胜奖励	40 +12	积分	2968	
护天兵	护天兵	防御型防枪宗师III	碧海连云 Lv.17	获胜奖励	40 +12	积分	2969	
护天兵	护天兵	防御型防枪宗师III	拔山盖世 Lv.20	获胜奖励	40 +12	积分	2970	
护天兵	护天兵	防御型防枪宗师III	拔山盖世 Lv.17	获胜奖励	40 +12	积分	2971	
护天兵	护天兵	防御型防枪宗师III	不动惊波 Lv.20	获胜奖励	40 +12	积分	2972	
护天兵	护天兵	防御型防枪宗师III	不动惊波 Lv.17	获胜奖励	40 +12	积分	2973	
护天兵	护天兵	防御型防枪宗师III	碧海连云 Lv.20	获胜奖励	40 +12	积分	2974	
护天兵	护天兵	防御型防枪宗师III	碧海连云 Lv.17	获胜奖励	40 +12	积分	2975	
护天兵	护天兵	防御型防枪宗师III	拔山盖世 Lv.20	获胜奖励	40 +12	积分	2976	
护天兵	护天兵	防御型防枪宗师III	拔山盖世 Lv.17	获胜奖励	40 +12	积分	2977	
护天兵	护天兵	防御型防枪宗师III	不动惊波 Lv.20	获胜奖励	40 +12	积分	2978	
护天兵	护天兵	防御型防枪宗师III	不动惊波 Lv.17	获胜奖励	40 +12	积分	2979	
项伯	间谍	纯身法刺匕宗师V	断水捞月 Lv.12	获胜奖励	462 +139	积分	2983	定身
屠夫战队	屠夫战队	臂力型重剑宗师IV	西风横渡 Lv.10	获胜奖励	40 +12	积分	2986	
屠夫战队	屠夫战队	臂力型重剑宗师IV	西风横渡 Lv.8	获胜奖励	40 +12	积分	2987	
屠夫战队	屠夫战队	臂力型重剑宗师IV	刀剑平戎 Lv.6	获胜奖励	40 +12	积分	2988	
屠夫战队	屠夫战队	臂力型重剑宗师IV	刀剑平戎 Lv.5	获胜奖励	40 +12	积分	2989	
屠夫战队	屠夫战队	臂力型重剑宗师IV	北望天狼 Lv.12	获胜奖励	40 +12	积分	2990	
屠夫战队	屠夫战队	臂力型重剑宗师IV	北望天狼 Lv.10	获胜奖励	40 +12	积分	2991	
屠夫战队	屠夫战队	臂力型重剑宗师IV	西风横渡 Lv.10	获胜奖励	40 +12	积分	2992	
屠夫战队	屠夫战队	臂力型重剑宗师IV	西风横渡 Lv.8	获胜奖励	40 +12	积分	2993	
屠夫战队	屠夫战队	臂力型重剑宗师IV	刀剑平戎 Lv.6	获胜奖励	40 +12	积分	2994	
屠夫战队	屠夫战队	臂力型重剑宗师IV	刀剑平戎 Lv.5	获胜奖励	40 +12	积分	2995	
屠夫战队	屠夫战队	臂力型重剑宗师IV	北望天狼 Lv.12	获胜奖励	40 +12	积分	2996	
屠夫战队	屠夫战队	臂力型重剑宗师IV	北望天狼 Lv.10	获胜奖励	40 +12	积分	2997	
樊哙	屠夫将军	根骨型均剑传奇II	西风横渡 Lv.13	获胜奖励	484 +146	积分	2998	
樊哙	屠夫将军	根骨型均剑传奇II	西风横渡 Lv.13	获胜奖励	484 +146	积分	2999	
樊哙	屠夫将军	根骨型均剑传奇II	西风横渡 Lv.13	获胜奖励	484 +146	积分	3000	
樊哙	屠夫将军	根骨型均剑传奇I	西风横渡 Lv.13	获胜奖励	484 +146	积分	3001	
樊哙	屠夫将军	根骨型均剑传奇I	西风横渡 Lv.13	获胜奖励	484 +146	积分	3002	
樊哙	屠夫将军	根骨型均剑传奇I	西风横渡 Lv.11	获胜奖励	484 +146	积分	3003	卸武
神策军	神策军	生存型法算宗师IV	借蛊蚀心 Lv.11	获胜奖励	40 +12	积分	3004	
神策军	神策军	生存型法算宗师IV	借蛊蚀心 Lv.9	获胜奖励	40 +12	积分	3005	
神策军	神策军	生存型法算宗师IV	掌火燎原 Lv.11	获胜奖励	40 +12	积分	3006	
神策军	神策军	生存型法算宗师IV	掌火燎原 Lv.9	获胜奖励	40 +12	积分	3007	
神策军	神策军	生存型法算宗师IV	画龙翻天 Lv.11	获胜奖励	40 +12	积分	3008	
神策军	神策军	生存型法算宗师IV	画龙翻天 Lv.9	获胜奖励	40 +12	积分	3009	
神策军	神策军	生存型法算宗师IV	借蛊蚀心 Lv.11	获胜奖励	40 +12	积分	3010	
神策军	神策军	生存型法算宗师IV	借蛊蚀心 Lv.9	获胜奖励	40 +12	积分	3011	
神策军	神策军	生存型法算宗师IV	掌火燎原 Lv.11	获胜奖励	40 +12	积分	3012	
神策军	神策军	生存型法算宗师IV	掌火燎原 Lv.9	获胜奖励	40 +12	积分	3013	
神策军	神策军	生存型法算宗师IV	画龙翻天 Lv.11	获胜奖励	40 +12	积分	3014	
神策军	神策军	生存型法算宗师IV	画龙翻天 Lv.9	获胜奖励	40 +12	积分	3015	
范增	亚父	纯内息气剑传奇III	剑转红阳 Lv.16	获胜奖励	506 +152	积分	3016	
范增	亚父	纯内息气剑传奇III	剑转红阳 Lv.16	获胜奖励	506 +152	积分	3017	
范增	亚父	纯内息气剑传奇III	剑转红阳 Lv.16	获胜奖励	506 +152	积分	3018	
范增	亚父	纯内息气剑传奇II	剑转红阳 Lv.16	获胜奖励	506 +152	积分	3019	
范增	亚父	纯内息气剑传奇II	剑转红阳 Lv.16	获胜奖励	506 +152	积分	3020	
范增	亚父	纯内息气剑传奇II	剑转红阳 Lv.13	获胜奖励	506 +152	积分	3021	截脉
天机阵	天机阵	法算型控匕宗师IV	燕窥画栋 Lv.10	获胜奖励	40 +12	积分	3022	
天机阵	天机阵	法算型控匕宗师IV	燕窥画栋 Lv.8	获胜奖励	40 +12	积分	3023	
天机阵	天机阵	法算型控匕宗师IV	遁开金石 Lv.12	获胜奖励	40 +12	积分	3024	
天机阵	天机阵	法算型控匕宗师IV	遁开金石 Lv.10	获胜奖励	40 +12	积分	3025	
天机阵	天机阵	法算型控匕宗师IV	琉璃催心 Lv.6	获胜奖励	40 +12	积分	3026	
天机阵	天机阵	法算型控匕宗师IV	琉璃催心 Lv.5	获胜奖励	40 +12	积分	3027	
天机阵	天机阵	法算型控匕宗师IV	燕窥画栋 Lv.10	获胜奖励	40 +12	积分	3028	
天机阵	天机阵	法算型控匕宗师IV	燕窥画栋 Lv.8	获胜奖励	40 +12	积分	3029	
天机阵	天机阵	法算型控匕宗师IV	遁开金石 Lv.12	获胜奖励	40 +12	积分	3030	
天机阵	天机阵	法算型控匕宗师IV	遁开金石 Lv.10	获胜奖励	40 +12	积分	3031	
